nacc_per_class,model,fold,eval_dataset,accuracy,balanced_accuracy,f1_macro,auc_macro
500,DCM-DNN,0,NACC,0.9383561643835616,0.9364903050426543,0.9369046157372165,0.9962774369138522
500,DCM-DNN,0,PPMI,0.4794520547945205,0.5024803387779794,0.4830975868608313,0.6918645570445329
500,PlainDNN,0,NACC,0.9417808219178082,0.9399267311594929,0.9401715672770404,0.994058746361636
500,PlainDNN,0,PPMI,0.5616438356164384,0.5914337568058077,0.5666846448724417,0.7446098105474995
500,LR,0,NACC,0.9657534246575342,0.9645151650978635,0.9646781789638933,0.9968000245185363
500,LR,0,PPMI,0.547945205479452,0.5617906836055656,0.558281446791904,0.7546685905230975
500,DCM-DNN,1,NACC,0.9587628865979382,0.9599920776391365,0.9587277650279162,0.9980773734858701
500,DCM-DNN,1,PPMI,0.5675675675675675,0.5481533426834969,0.5577738787822821,0.7561825019814679
500,PlainDNN,1,NACC,0.9587628865979382,0.9599920776391365,0.9587277650279162,0.9969291871898935
500,PlainDNN,1,PPMI,0.6081081081081081,0.6018934081346424,0.6092342342342342,0.7553670487575479
500,LR,1,NACC,0.979381443298969,0.9800950683303625,0.9796353261699796,0.9970178163732452
500,LR,1,PPMI,0.5945945945945946,0.6120149602618046,0.6128760339286655,0.7645234003158362
500,DCM-DNN,2,NACC,0.9413680781758957,0.9413033821943017,0.9406796211307489,0.9958121491551865
500,DCM-DNN,2,PPMI,0.603448275862069,0.6105263157894737,0.5695090439276486,0.8216374269005847
500,PlainDNN,2,NACC,0.9413680781758957,0.9413351100958183,0.9410022555653624,0.9944114783809175
500,PlainDNN,2,PPMI,0.6206896551724138,0.6271929824561403,0.5962301587301587,0.8171727395411607
500,LR,2,NACC,0.9543973941368078,0.9542800939145885,0.9537510162145447,0.9959071007043594
500,LR,2,PPMI,0.603448275862069,0.6087719298245614,0.5916971916971917,0.8150697255960413
500,DCM-DNN,3,NACC,0.95,0.9512659432705121,0.9503207994160537,0.9956008379044862
500,DCM-DNN,3,PPMI,0.6307692307692307,0.6270580296896086,0.6068840579710145,0.7879391193015555
500,PlainDNN,3,NACC,0.95,0.9512659432705121,0.9501761515277369,0.9951639496244006
500,PlainDNN,3,PPMI,0.6615384615384615,0.6518218623481781,0.6174469787915166,0.7785048978676862
500,LR,3,NACC,0.9633333333333334,0.9643061107938321,0.9635029112254502,0.9964482069236089
500,LR,3,PPMI,0.6461538461538462,0.6398785425101213,0.6199003714961161,0.8259725952104054
500,DCM-DNN,4,NACC,0.9548387096774194,0.9550659696290764,0.9543120855203879,0.9947486166882537
500,DCM-DNN,4,PPMI,0.5925925925925926,0.5925352597179222,0.5869674185463659,0.7767705232875511
500,PlainDNN,4,NACC,0.9483870967741935,0.9485934777196913,0.9479510495324913,0.9942659157517748
500,PlainDNN,4,PPMI,0.5370370370370371,0.5316477468180255,0.511295058504124,0.7715954135372779
500,LR,4,NACC,0.9774193548387097,0.9775018670649738,0.977407158565477,0.9973047068076616
500,LR,4,PPMI,0.5740740740740741,0.5718380919619309,0.5583333333333333,0.797290030459965
250,DCM-DNN,0,NACC,0.96,0.9615094339622642,0.9607588086743896,0.9927814970714376
